text,label_binary,label_original,dataset_name,norm_key,dedup_key
"অনেক ধন্যবাদ , সুন্দর ইফতারী ও সেহেরীর খাদ্য তালিকার জন্য !",0,0.0,banglasarc,"অনেক ধন্যবাদ , সুন্দর ইফতারী ও সেহেরীর খাদ্য তালিকার জন্য !","অনেক ধন্যবাদ , সুন্দর ইফতারী ও সেহেরীর খাদ্য তালিকার জন্য !"
আমরা সবসময় হাত ধরে।আমি যদি যেতে দিই তবে সে দোকান করে।,1,1.0,banglasarc,আমরা সবসময় হাত ধরে।আমি যদি যেতে দিই তবে সে দোকান করে।,আমরা সবসময় হাত ধরে।আমি যদি যেতে দিই তবে সে দোকান করে।
এই গুলা সব আমার সাথেই হয়,0,0.0,banglasarc,এই গুলা সব আমার সাথেই হয়,এই গুলা সব আমার সাথেই হয়
শয়তানের বংসদর,0,0.0,banglasarc,শয়তানের বংসদর,শয়তানের বংসদর
তাদের পোঁদ মিথ্যা বলে না।,1,1.0,banglasarc,তাদের পোঁদ মিথ্যা বলে না।,তাদের পোঁদ মিথ্যা বলে না।
ভালবাসার আরেক নাম মাশরাফি বিন মুর্তজা,0,0.0,banglasarc,ভালবাসার আরেক নাম মাশরাফি বিন মুর্তজা,ভালবাসার আরেক নাম মাশরাফি বিন মুর্তজা
"সারাদিন কয় ভারত বয়কট,, রাত হলে কয় ভারত আমায় উদ্ধার কর।",0,0.0,banglasarc,"সারাদিন কয় ভারত বয়কট,, রাত হলে কয় ভারত আমায় উদ্ধার কর।","সারাদিন কয় ভারত বয়কট,, রাত হলে কয় ভারত আমায় উদ্ধার কর।"
"ভাই ""ইবেন দো"" আর ছাড়লেন নাহ",0,0.0,banglasarc,"ভাই ""ইবেন দো"" আর ছাড়লেন নাহ","ভাই ""ইবেন দো"" আর ছাড়লেন নাহ"
"যার কথায় এতো সিরিয়াস হচ্ছি,কাল ভুল বোঝাবোঝি সুধরানোর জন্য আমি নিজেও না থাকতে পারি।",0,0.0,banglasarc,"যার কথায় এতো সিরিয়াস হচ্ছি,কাল ভুল বোঝাবোঝি সুধরানোর জন্য আমি নিজেও না থাকতে পারি।","যার কথায় এতো সিরিয়াস হচ্ছি,কাল ভুল বোঝাবোঝি সুধরানোর জন্য আমি নিজেও না থাকতে পারি।"
একজন হতাশাবাদী এমন একজন ব্যক্তি যিনি প্রত্যেকে নিজের মতোই বাজে বলে মনে করেন এবং এর জন্য তাদের ঘৃণা করেন।,1,1.0,banglasarc,একজন হতাশাবাদী এমন একজন ব্যক্তি যিনি প্রত্যেকে নিজের মতোই বাজে বলে মনে করেন এবং এর জন্য তাদের ঘৃণা করেন।,একজন হতাশাবাদী এমন একজন ব্যক্তি যিনি প্রত্যেকে নিজের মতোই বাজে বলে মনে করেন এবং এর জন্য তাদের ঘৃণা করেন।
ঈদ মোবারক ❤❤❤❤❤,0,0.0,banglasarc,ঈদ মোবারক ❤❤❤❤❤,ঈদ মোবারক ❤❤❤❤❤
শৈশবের বন্ধুত্ব বেঁচে থাকুক চিরকাল💝💝💝,0,0.0,banglasarc,শৈশবের বন্ধুত্ব বেঁচে থাকুক চিরকাল💝💝💝,শৈশবের বন্ধুত্ব বেঁচে থাকুক চিরকাল💝💝💝
কি সুন্দর উপস্থাপনা 😊,0,0.0,banglasarc,কি সুন্দর উপস্থাপনা 😊,কি সুন্দর উপস্থাপনা 😊
আমি আপনার সমাধিক্ষেত্রে একটি ফেডোরা ছেড়ে যাব।,1,1.0,banglasarc,আমি আপনার সমাধিক্ষেত্রে একটি ফেডোরা ছেড়ে যাব।,আমি আপনার সমাধিক্ষেত্রে একটি ফেডোরা ছেড়ে যাব।
