config,model,epochs,max_len,lr,batch,adv,freeze,llrd,ls,scheduler,faithful_repro,trainable_params,time_seconds,val_macro_f1,test_macro_f1,val_accuracy,test_accuracy
P0_fullft,csebuetnlp/banglabert,8,128,2e-05,32,,0,False,0.0,linear,False,110618882,178.5,0.7970126621777776,0.7818578269509195,0.7970335675253708,0.7818962153726102
P1_fullft_fgm,csebuetnlp/banglabert,8,128,2e-05,32,fgm,0,False,0.0,linear,False,110618882,517.4,0.804366789819376,0.7992101075206091,0.804839968774395,0.7998439328911432
P2_fullft_llrd,csebuetnlp/banglabert,8,128,2e-05,32,,0,True,0.0,linear,False,110618882,417.1,0.802074890804243,0.7920081547576905,0.8021077283372365,0.7920405774483028
P3_fullft_fgm_llrd,csebuetnlp/banglabert,8,128,2e-05,32,fgm,0,True,0.0,linear,False,110618882,624.8,0.8030135127218762,0.7998853224999696,0.8032786885245902,0.8002341006632853
P4_freeze6_fgm,csebuetnlp/banglabert,8,128,2e-05,32,fgm,6,False,0.0,linear,False,68091650,546.3,0.7934113300492611,0.7938347366918795,0.7939110070257611,0.7943815840811549
P5_freeze6_fgm_llrd,csebuetnlp/banglabert,8,128,2e-05,32,fgm,6,True,0.0,linear,False,68091650,729.2,0.7935010244210958,0.7845667507217775,0.7935206869633099,0.7846273897776044
P6_maxlen192_fgm_llrd,csebuetnlp/banglabert,8,192,2e-05,32,fgm,0,True,0.0,linear,False,110618882,1049.6,0.8028832932770132,0.8021540984280471,0.802888368462139,0.8021849395239953
P8_large_fgm_llrd,csebuetnlp/banglabert_large,8,128,1e-05,16,fgm,0,True,0.0,linear,False,336657410,1787.3,0.7984356560638911,0.7969740177439797,0.7985948477751756,0.797112758486149
P7_fgm_llrd_ls,csebuetnlp/banglabert,8,128,2e-05,32,fgm,0,True,0.1,linear,False,110618882,630.1,0.8042341639799415,0.8003079942030003,0.8044496487119438,0.8006242684354272
ZIHAN_repro,csebuetnlp/banglabert,15,128,2e-05,32,fgm,6,True,0.1,cosine,True,68091650,738.2,0.7913656601566098,0.7828048202055525,0.7915690866510539,0.7830667186890363
