note,label_binary,label_original,dataset_name,norm_key,dedup_key
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,পালানোর কোন বয়স নাই কেউ এগারো বছর বয়সে কেউ পঁচাত্তর বছর বয়সে,পালানোর কোন বয়স নাই কেউ এগারো বছর বয়সে কেউ পঁচাত্তর বছর বয়সে
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,সঠিকভাবে লিখেছেন সেজন্য ধন্যবাদ খুব উপকার করলেন,সঠিকভাবে লিখেছেন সেজন্য ধন্যবাদ খুব উপকার করলেন
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,খাটের ক্ষতি থেকে কাজের গতি কমিয়ে দেওয়া মধ্যে বৃত্ত,খাটের ক্ষতি থেকে কাজের গতি কমিয়ে দেওয়া মধ্যে বৃত্ত
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,আইসো সুন্নাতে খাতনা করাই দিব নি,আইসো সুন্নাতে খাতনা করাই দিব নি
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,যাই ঘটে থাকুক না কেনো আফসোস লীগের কাছে হাসিনার চরিত্র ফুলের মতো পবিত্র,যাই ঘটে থাকুক না কেনো আফসোস লীগের কাছে হাসিনার চরিত্র ফুলের মতো পবিত্র
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,শাশুড়ির সাথে রাগারাগী করে তাঁর বাবার বাড়ি যাওয়া যায় না এমন টা যেদিন হবে মনে করবে নতুন যুগ আরম্ভ হলো,শাশুড়ির সাথে রাগারাগী করে তাঁর বাবার বাড়ি যাওয়া যায় না এমন টা যেদিন হবে মনে করবে নতুন যুগ আরম্ভ হলো
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,মিষ্টির প্যাকেটের গায়ে তো লেখা আছে মমিন সুইট,মিষ্টির প্যাকেটের গায়ে তো লেখা আছে মমিন সুইট
text withheld: corpus licence does not permit redistribution,0,Non-Sarcastic,banglasarc3,আমি গতকাল রাতে এইরকম একটা দেখলাম বাসার বাইরে বসে ছিল,আমি গতকাল রাতে এইরকম একটা দেখলাম বাসার বাইরে বসে ছিল
text withheld: corpus licence does not permit redistribution,0,Non-Sarcastic,banglasarc3,ফকিন্নির পোলা পান যদি একটু সেলিব্রেটি হয় তাহলে নিজেকে অনেক কিছু মনে করে মদ খাওয়া নিয়ে ভিডিও করে কি বুঝাতে চাষ মদ খেলে নিজে অনেক বড় কিছু হয়ে ইউরোপ কান্ট্রি তে এসে দেখ এখানে পানির দাম আর মদের দাম সমান সমান এখানে পাগল ছাগলে মদ খায়,ফকিন্নির পোলা পান যদি একটু সেলিব্রেটি হয় তাহলে নিজেকে অনেক কিছু মনে করে মদ খাওয়া নিয়ে ভিডিও করে কি বুঝাতে চাষ মদ খেলে নিজে অনেক বড় কিছু হয়ে ইউরোপ কান্ট্রি তে এসে দেখ এখানে পানির দাম আর মদের দাম সমান সমান এখানে পাগল ছাগলে মদ খায়
text withheld: corpus licence does not permit redistribution,1,Sarcastic,banglasarc3,বঙ্গবন্ধু স্যাটেলাইট ভূপৃষ্ঠ থেকে ৩৫ ৭৮০ কিলোমিটার উপরে বাংলাদেশের মানুষের গড় উচ্চতা ১৬০ সে মি হলে ২ লাখ ২৩ হাজার মানুষ একজনের কাঁধের উপর আরেকজন উঠে স্যাটেলাইট পর্যন্ত পৌঁছানো যাবে একটু হিসাব করে জাস্ট সংখ্যা বের করে দিলাম বাকিটা আপনারা যা ভালো মনে করেন,বঙ্গবন্ধু স্যাটেলাইট ভূপৃষ্ঠ থেকে ৩৫ ৭৮০ কিলোমিটার উপরে বাংলাদেশের মানুষের গড় উচ্চতা ১৬০ সে মি হলে ২ লাখ ২৩ হাজার মানুষ একজনের কাঁধের উপর আরেকজন উঠে স্যাটেলাইট পর্যন্ত পৌঁছানো যাবে একটু হিসাব করে জাস্ট সংখ্যা বের করে দিলাম বাকিটা আপনারা যা ভালো মনে করেন
